ID,SMILES
EN300-07851,N#CSc1ccc(N)c(Br)c1
EN300-05713,COc1ccc(CCNC(=O)c2ccccc2N)cc1
EN300-16708,Nc1ncc(Br)cc1[N+](=O)[O-]
EN300-20801,Nc1ccc(Br)cc1Cl
EN300-02528,Nc1cccc(-c2nc3ccccc3s2)c1
EN300-06825,N#CSc1ccc(N)c(Cl)c1
EN300-07837,CCN(CC)S(=O)(=O)c1ccc(N2CCN(c3ccccc3OC)CC2)c(N)c1
EN300-06306,Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1
EN300-08567,CN1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2N)CC1
EN300-07654,Cc1nnc(N)o1
EN300-49972,Nc1ccc(Oc2ncccn2)cc1
EN300-13511,CC(=O)N1CCC(N)CC1
EN300-12852,Cc1c(C)n(Cc2ccccc2)c2ncnc(N)c12
EN300-43004,Cc1n[nH]c(C)c1-c1ccccc1N
EN300-11983,NCc1nnc2ccccn12
EN300-12362,Cc1nc2cc(N)ccc2o1
EN300-02554,CC(N)c1nc2ccccc2[nH]1.Cl
EN300-34333,CC(N)C(c1ccccc1)N1CCOCC1
EN300-12992,CC(=O)NC(C)CCc1ccc(-c2csc(N)n2)cc1
EN300-02267,Nc1nc(-c2cc3ccccc3o2)cs1
EN300-13341,Nc1nc2cc(S(=O)(=O)N3CCOCC3)ccc2o1
EN300-10694,Cl.NC1C=CS(=O)(=O)C1
EN300-12131,Nc1nc(C23CC4CC(CC(C4)C2)C3)cs1
EN300-10016,CC(N)c1ccncc1
EN300-09819,CC1CCCC(C)N1S(=O)(=O)c1ccc(N)cc1
EN300-23577,CCCOc1cc(N)c([N+](=O)[O-])cc1OCCC
EN300-34696,CN(CCN)c1ccccc1
EN300-25505,CS(=O)(=O)c1ccccc1N
EN300-14407,COCCOCCCN
EN300-23904,CSCCC(N)c1nc2ccccc2s1.Cl
EN300-24003,CNS(=O)(=O)Cc1ccccc1CN
EN300-26190,NC(=O)CN1CCC(N)CC1
EN300-12558,CN(c1ccc(-c2csc(N)n2)cc1)S(C)(=O)=O
EN300-25480,Cl.NCc1ccc(S(=O)(=O)N2CCCCC2)s1
EN300-15268,NC1CCC2CCCCC2C1
EN300-25575,Cn1cnnc1Sc1ccccc1N
EN300-25604,Cc1csc(CN)n1
EN300-23673,Nc1cc(-c2ccccc2)no1
EN300-24081,Nc1nc(CN2CCCCC2)nc2ccccc12
EN300-23923,COc1ccc(S(N)(=O)=O)cc1N
EN300-24791,NCCc1nc2cc(Cl)ccc2s1
EN300-26810,Nc1ccc(NC(=O)c2ccco2)cc1
EN300-28590,Nc1ccn(-c2ccccc2)n1
EN300-29407,CC(C)(N)C#N
EN300-27177,COCCNC(=O)c1ccccc1N
EN300-28239,Nc1ccc(-n2cccn2)cc1
EN300-28553,CCC(CC)C(CN)N1CCCC1
EN300-26938,NCc1ccc(NC(N)=O)cc1
EN300-28606,CCN(CC)C(CN)CC(C)C
EN300-28613,Cl.Nc1csc(N2CCCCC2)n1
EN300-29441,NCCCN1CCN(c2ncccn2)CC1
EN300-29221,Cl.NCCNC(=O)c1ccc(Cl)cc1
EN300-26744,Nc1ccc(NC(=O)CN2CCOCC2)cc1
EN300-30377,CC(C)CN1CCC(N)CC1
EN300-28592,Nc1ncc(Cc2ccc(OC(F)(F)F)cc2)s1
EN300-27262,Cc1nc(C2(N)CCCC2)no1.Cl
EN300-24432,NCc1cccc(NC(=O)C2CC2)c1
EN300-40800,NC1CCc2[nH]ncc2C1
EN300-09713,Cl.NCc1cc([N+](=O)[O-])ccc1O
EN300-08657,Cc1sc(N)nc1-c1ccc(C(C)(C)C)cc1
EN300-08659,Cc1ccc(-c2nc(N)sc2C)cc1
EN300-02178,COc1ccc(NS(=O)(=O)c2cc(N)ccc2N2CCCC2)cc1
EN300-41845,NC(=O)c1ccc(F)c(N)c1
EN300-50339,Cc1oncc1C(=O)Nc1ccc(Cl)c(N)c1.Cl
EN300-50325,Cc1nccn1-c1ccc(N)cc1F
EN300-08654,Cc1sc(N)nc1-c1ccc(F)cc1
EN300-08665,N#CC1(N)CCCCC1
EN300-03932,Cl.NCC(O)c1ccc([N+](=O)[O-])cc1
EN300-50486,CCc1nc(N)sc1C
EN300-11242,COc1cccc(C(CN)N2CCCC2)c1
EN300-09768,CC(N)c1ccccc1Cl
EN300-45103,N#Cc1c(OCCCO)n[nH]c1N
EN300-16223,NCCOc1ccccc1
EN300-08901,CCCOc1ccccc1N.Cl
EN300-08915,Nc1c(Cl)cc(Cl)c2c1N=S=N2
EN300-08917,Nc1ccc(S(=O)(=O)C(F)F)cc1
EN300-09208,CC(N)c1ccc(-n2ccnc2)cc1
EN300-02562,Nc1nc(COc2ccccc2)cs1
EN300-11541,Nc1c(-c2ccccc2)nc2ccccn12
EN300-11389,CC(C)(C)C(=O)Nc1ccc(-c2csc(N)n2)cc1
EN300-02152,Cc1ccc(NS(=O)(=O)c2cc(N)ccc2C)c(C)c1
EN300-07969,CCN(CC)S(=O)(=O)c1ccc(Oc2cc(C)ccc2C(C)C)c(N)c1
EN300-10931,Cc1cc(-c2csc(N)n2)c(C)n1Cc1ccccc1Cl.Cl
EN300-11385,Cc1cc(-c2csc(N)n2)c(C)n1CCC(C)C.Cl
EN300-13155,CC(C)N1CCC(N)CC1
EN300-08702,Nc1cc(S(=O)(=O)N2CCCCC2)ccc1N1CCCCCC1
EN300-07694,Cc1cc(-c2csc(N)n2)c(C)n1-c1ccccc1.Cl
EN300-07804,CCOc1ccc(C(C)N)cc1OCC
EN300-07805,COc1ccccc1C(C)N
EN300-07807,Cn1cnnc1Sc1ccc(Cl)cc1N
EN300-09749,Nc1ccc(S(=O)(=O)N2CCC(Cc3ccccc3)CC2)cc1
EN300-30744,Cl.Nc1ccc(OC2CCCC2)cc1
EN300-07960,CCOc1ccc(S(=O)(=O)N2CCOCC2)cc1N
EN300-06366,NCC(c1ccccc1)c1c[nH]c2ccccc12
EN300-10928,Cc1cc(-c2csc(N)n2)c(C)n1Cc1ccco1.Cl
EN300-06368,CCOc1ccc(Oc2ccccc2N)cc1
EN300-07197,COc1ccc(C(CN)N2CCOCC2)cc1
EN300-07518,Cc1cc(N)[nH]n1
EN300-51097,Nc1nc2ccccc2nc1Cl
EN300-11876,Nc1cccc2cnccc12
EN300-17228,Nc1nncs1
EN300-17374,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1
EN300-02328,Cc1c(NC(=O)c2cccc(N)c2)c(=O)n(-c2ccccc2)n1C
EN300-11875,Cc1ccc(S(=O)(=O)Nc2ccc(N)cc2)cc1
EN300-50048,Cc1c(N)cccc1S(N)(=O)=O
EN300-51839,CCCCOCCN
EN300-02317,Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
EN300-02324,Nc1ccccc1C(=O)Nc1ccc(Cl)cc1
EN300-02174,Nc1cc(S(=O)(=O)Nc2ccccc2Cl)ccc1N1CCOCC1
EN300-50047,N#Cc1cccc(NC(=O)c2cccc(N)c2)c1
EN300-02142,Cc1ccc(S(=O)(=O)N(C)C)cc1N
EN300-02128,CN(C)S(=O)(=O)c1ccc(Cl)c(N)c1
EN300-02386,Nc1nc2c(F)c(F)c(F)cc2s1
EN300-02278,Nc1nc2ccc(SC(F)F)cc2s1
EN300-50667,NCc1ccc(N2CCCC(C(N)=O)C2)cc1
EN300-50396,COc1ccc(C(=O)N(C)C)cc1N
EN300-50244,Cl.Cl.NCCCN1CCC(O)CC1
EN300-02202,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1
EN300-51090,CN(C)CC(N)Cc1ccccc1
EN300-29544,Cc1cccc(C(N)=O)c1N
EN300-02161,COc1ccccc1NS(=O)(=O)c1cc(N)ccc1Cl
EN300-02163,Nc1ccc(Cl)c(S(=O)(=O)Nc2ccccc2Cl)c1
EN300-02095,Nc1ccc(-c2nc3ccccc3[nH]2)cc1
EN300-02151,Nc1ccc(Cl)c(S(=O)(=O)N2CCOCC2)c1
EN300-02377,Nc1cc(C(F)(F)F)ccc1N1CCCCC1
EN300-21249,CC(C)(C)CC(C)(C)N
EN300-51203,Cc1ccc(C(=O)NCCN)cc1
EN300-02130,CCN(CC)S(=O)(=O)c1ccc(Cl)c(N)c1
EN300-19392,NCCO
EN300-20378,CCOC(CN)OCC
EN300-20439,NCCc1ccccn1
EN300-50034,Nc1ccc(-n2cc[nH]c2=O)cc1
EN300-50040,CCNC(=O)COc1cccc(CN)c1
