0%,0%,0%,0%,43%,98%,0%,96%,43%,100%,61%,89%,73%,33%,0%,74%
36%,0%,0%,0%,39%,90%,0%,37%,0%,36%,0%,0%,0%,100%,65%,0%
0%,93%,22%,0%,95%,87%,31%,0%,96%,100%,93%,0%,76%,25%,82%,0%
49%,0%,86%,10%,94%,100%,0%,0%,72%,61%,0%,83%,0%,95%,42%,36%
91%,85%,76%,0%,4%,54%,0%,7%,0%,18%,93%,24%,0%,5%,34%,14%
42%,81%,0%,1%,46%,0%,0%,100%,0%,0%,96%,0%,0%,59%,0%,100%
88%,64%,0%,20%,75%,90%,0%,0%,0%,96%,71%,0%,25%,0%,88%,100%
0%,18%,88%,0%,0%,0%,100%,0%,0%,100%,32%,66%,0%,0%,0%,0%
0%,0%,0%,21%,100%,67%,85%,0%,22%,0%,67%,98%,0%,100%,71%,0%
100%,67%,79%,0%,22%,0%,64%,98%,0%,100%,76%,0%,0%,100%,36%,5%
41%,0%,45%,0%,0%,98%,0%,32%,75%,0%,0%,0%,0%,0%,77%,0%
100%,0%,5%,100%,0%,0%,41%,0%,0%,100%,0%,66%,32%,91%,100%,100%
0%,0%,0%,35%,45%,0%,0%,0%,0%,0%,0%,0%,97%,42%,0%,100%
18%,4%,96%,100%,88%,68%,0%,100%,0%,3%,0%,0%,0%,32%,0%,0%
84%,77%,0%,0%,43%,0%,39%,0%,100%,0%,10%,0%,11%,0%,100%,2%
66%,100%,94%,30%,98%,50%,100%,92%,97%,100%,100%,98%,100%,42%,0%,0%
6%,100%,70%,89%,96%,0%,0%,100%,89%,24%,95%,92%,77%,63%,93%,93%
0%,80%,100%,0%,0%,52%,0%,49%,94%,100%,0%,61%,94%,0%,0%,2%
98%,94%,68%,85%,18%,35%,100%,93%,93%,100%,96%,0%,,,,
